title,genre,director,country,year
А был ли Каротин?,"Детективный фильм, Кинокомедия",Геннадий Полока,СССР,1989
А завтра весь мир,Драматический фильм,Юлия фон Хайнц,,2020
А защищал её Плевако,Драма (жанр),Николай Козловский,Российская империя,1916
А если это любовь?,Драма (жанр),Юлий Райзман,СССР,1961
"А ну-ка, дедушки!",,"Нинель Ненова-Цулая, ,,  , Гено Цулая",СССР,1981
А кто я на этот раз?,,Джонатан Демми,,1983
А зори здесь тихие…,,Ренат Давлетьяров,Россия,2015
…А зори здесь тихие,,Станислав Ростоцкий,СССР,1972
А вы любили когда-нибудь?,Музыкальная комедия,Игорь Усов,СССР,1973
А вот и Хаггетты,"Комедийный фильм, Драматический фильм",Кен Эннакин,Великобритания,1948
А как же Боб?,Кинокомедия,Фрэнк Оз,США,1991
А пароходы гудят и уходят…,,"Рубен Мурадян, [d]",СССР,1972
А вот и Полли,Комедия,Джон Гамбург,США,2004
А в душе я танцую,Драма (жанр),Дэмиен О'Доннелл,"Великобритания, Ирландия, Франция",2004
Азбука любви,Мелодрама,Леонс Перре,США,1919
Азартные игры,"Триллер, Драма (жанр)",Джон Франкенхаймер,США,2000
Азарт удачи,Кинокомедия,Билли Уайлдер,США,1966
Азарт любви,"Музыкальный фильм, Драматический фильм, Боевик (киножанр)",Мансур Хан,Индия,2000
А вот и Лола,Романтическая комедия,"Эллен Сидлер,  ,  , Мэган Силер",США,2009
Азартная игра,Драма (жанр),Уильям Фридкин,,1994
А вот и гости!,"Кинокомедия, Драма (жанр), Семейный фильм, Фэнтези",Дэвид Йейтс,Великобритания,2003
Азамат,Драматический фильм,,СССР,1939
Адский переплёт,"Фильм-нуар, Триллер",Уильям Дж. Хоул-младший,США,1957
Адский остров,Нуар,Фил Карлсон,США,1955
Адский небоскрёб,"Кинокомедия, Пародия",Чарльз Немес,Франция,2001
Адский котёл,Фильм ужасов,Жорж Мельес,Франция,1903
Адский ветряк,Боевик (киножанр),"Лу Цзюньгу, Тони Вон",Гонконг,1979
Адский бункер: Черное солнце,"Боевик (киножанр), Фильм ужасов",Стив Баркер,Великобритания,2012
